gene_symbol_20_40min
FOS
JUN
EGR1
HES1
ATF3
BTG2
JUNB
KLF2
ZFP36
CARF
CEBPB
ID1
MBNL1
NFIB
PIAS1
EGR3
NR4A1
NR4A2
FOSB
KLF10
KLF6
NR4A3
SNAI2
TIPARP
ZFP36L1
