,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
11091,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,LAMB3,ITGA3_ITGB1,0.2349031,1.0,0.0547125,-0.12591884,-0.2691167,0.011676344,0.7632065,0.0,1.0,1.0,1.0
14780,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,LAMB2,ITGA2_ITGB1,0.33542818,0.0,0.11193533,0.06570032,0.07322779,0.013954634,0.8217508,0.0,1.0,1.0,1.0
11090,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,LAMB3,ITGA2_ITGB1,0.28636873,1.0,0.07666709,-0.09418826,-0.21722579,0.010526558,0.79233044,0.0,1.0,1.0,1.0
11109,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,PCSK9,CD81,0.2456614,0.0,0.057021856,0.2521848,0.35257936,0.061277125,0.7669219,0.0,1.0,0.7845910913904015,1.0
11110,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,PCSK9,LDLR,0.43661588,1.0,0.17287292,-0.096059516,-0.19250658,0.023707274,0.8513935,0.0,1.0,1.0,1.0
11094,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,LAMC1,ITGA2_ITGB1,0.3257075,1.0,0.10494723,-0.10653041,-0.22054332,0.0063729594,0.81698054,0.0,1.0,1.0,1.0
14747,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,COL6A3,ITGA2_ITGB1,0.3081133,1.0,0.09229901,-0.0917709,-0.5011388,0.004097051,0.80718327,0.0,1.0,1.0,1.0
14748,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,COL6A3,ITGA3_ITGB1,0.2566477,1.0,0.06586802,-0.12350148,-0.5530297,0.00454456,0.77956283,0.0,1.0,1.0,1.0
14750,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,EFNB2,PECAM1,0.36942193,0.0,0.11870306,0.37220913,0.5436305,0.05546829,0.82600963,0.0,1.0,0.3998190764219686,1.0
11125,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,SEMA4D,PLXNB3,0.2752148,0.0,0.07144616,0.34542856,0.31694978,0.062062006,0.78646815,0.0,1.0,0.6587576724067278,1.0
