,names,scores,logfoldchanges,pvals,pvals_adj
31176,CCNK,-2.7020988,-0.58821577,0.0068903250481099805,0.07199738839369178
31177,RNF19B,-2.7060385,-1.0476524,0.0068091143234201386,0.07117085417354259
31178,ATP5MC2,-2.7068985,-0.74673647,0.006791501196886615,0.07100875437959542
31179,ENSG00000272657,-2.7092955,-1.2984587,0.006742624005379356,0.07056331697937329
31180,C1RL-AS1,-2.709607,-0.54238164,0.006736301009358022,0.07051901832322051
31181,STARD10,-2.710811,-1.2154197,0.0067118911545111975,0.07028529098485656
31182,ATP6V0E1,-2.7109528,-0.3692256,0.006709018141614527,0.07027701710589077
31183,MAP2K4,-2.7118702,-0.1452602,0.00669048069213328,0.07010460203496176
31184,PARP4P2,-2.7129948,-1.0381492,0.0066678131004223595,0.069888789688801
31185,ZFAND5,-2.7153702,-0.24149247,0.006620173758667429,0.06943259639957695
31186,MTMR4,-2.7170627,-0.8332281,0.006586410881553735,0.06909996988296736
31187,SDC1,-2.7177699,-0.68126446,0.006572352623875404,0.06897392769193036
31188,IFT25,-2.7195117,-0.9752844,0.0065378376681458645,0.06863305629223444
31189,NIPAL1,-2.7202024,-0.5280517,0.006524195905009256,0.06851116396981398
31190,ORC4,-2.7208467,-0.26446354,0.006511493867256017,0.06839906696177399
31191,FHOD3,-2.7211034,-0.5084185,0.006506440778465835,0.06838857067459105
31192,SRSF10,-2.7212317,-0.19189353,0.006503915556999259,0.06838333153417109
31193,TRIM16,-2.7217913,-0.55478644,0.006492911598249596,0.06828891437809893
31194,RAB8B,-2.722351,-0.65548337,0.00648192438931803,0.06819461456052084
31195,BAG1,-2.7236123,-0.5758185,0.00645722426763288,0.06795594098251198
31196,LINC01588,-2.7247972,-0.7710783,0.006434098290372446,0.06773368995855424
31197,PREX1,-2.7261786,-1.0735762,0.006407229849469076,0.06747188986301081
31198,CLUH,-2.7287395,-0.46871337,0.006357689244883049,0.06699201596575706
31199,MYO16,-2.7300036,-0.5052815,0.006333363130725611,0.0667565360920594
31200,PPP1R15B,-2.730831,-0.6711117,0.00631748883070335,0.06661002285872845
31201,CTDSP2,-2.7308419,-0.82111716,0.00631727950869746,0.06661002285872845
31202,IL3RA,-2.7321057,-0.27977523,0.006293092623854946,0.06641505947102468
31203,RBL2,-2.7334573,-0.2978641,0.00626732629857474,0.06616382644365199
31204,IL1RAP,-2.7354093,-0.7067308,0.006230275920443151,0.06585510950994734
31205,HDAC6,-2.7367415,-0.7459669,0.006205101734248811,0.06563013558418648
31206,SRP54-AS1,-2.7368782,-0.87922347,0.006202527591461483,0.06562348100843853
31207,WASH7P,-2.7372248,-0.38541353,0.006195993590883383,0.06557491334893518
31208,TNKS1BP1,-2.7385244,-0.5259224,0.006171559060897316,0.06535731409751269
31209,RHPN2P1,-2.7385652,-1.2489704,0.006170790477414144,0.06535731409751269
31210,CAP1,-2.7396574,-0.39448276,0.006150326686510074,0.06519384932543194
31211,TBC1D3,-2.7410278,-2.2933578,0.006124731113882851,0.06494293770660195
31212,SLC4A2,-2.741675,-0.77916074,0.0061126805181302485,0.0648355362092784
31213,POLR2B,-2.7436733,-0.21743998,0.0060755956710197186,0.06448272977043262
31214,CWC25,-2.7468677,-0.8631852,0.006016741403901305,0.06393853699767875
31215,UBE2L3,-2.750608,-0.23717052,0.0059484797765214726,0.06323305219276448
31216,UBA1,-2.7552464,-0.33049026,0.005864795201480558,0.06240245666917503
31217,RAB8A,-2.7576354,-0.81070024,0.0058221122302680745,0.061967844368846954
31218,MAMDC4,-2.7589538,-1.0204564,0.005798671380297522,0.06175731451112323
31219,SFSWAP,-2.759448,-0.18494308,0.00578990906954458,0.061685010684684696
31220,PKD1P6,-2.7612255,-0.8623718,0.005758492397556804,0.06138753032972087
31221,ACSS1,-2.7621455,-0.44535542,0.005742289539876215,0.06125350903427869
31222,ENSG00000255229,-2.7641847,-0.57675,0.005706520484165357,0.06092270474754542
31223,LINC01138,-2.7656345,-0.33827552,0.005681216612517055,0.06067877445594347
